"site","date","Year","jday","mass","density","reliability"
117,0018-05-24,"0018",142.5,1.82698961937717,8.96885813148792,NA
117,2015-05-21,"2015",139.5,1.96547661209297,4.75066134206762,2
117,2015-05-26,"2015",143.5,0.876646427422175,1.86022904668199,3
117,2015-05-28,"2015",147,1.05416366141597,2.22738110200688,3
117,2015-06-01,"2015",150,1.67391732380592,1.97041024242267,3
117,2015-06-08,"2015",157,1.3891267847665,3.07919290955397,3
117,2015-06-11,"2015",160.5,5.21156641643917,11.0333583591575,2
117,2015-06-15,"2015",164,5.87820762219982,12.0944114108424,3
117,2015-06-18,"2015",167.5,5.98221170515349,17.0670373523669,1
117,2015-06-22,"2015",171,1.71546488594381,4.42229759002892,1
117,2015-06-25,"2015",174.5,4.6660783240152,11.3818833397471,2
117,2015-07-02,"2015",181.5,5.50037281727453,8.65765139228033,3
117,2015-07-06,"2015",185,2.82205264643155,5.02995798735048,2
117,2015-07-09,"2015",188.5,4.17881244507643,5.91419426452821,2
117,2015-07-13,"2015",192,2.69433072230707,4.68325191002198,1
117,2015-07-16,"2015",195.5,2.80770834970532,5.17274598096157,3
117,2015-07-20,"2015",199,2.03967962516743,6.67405431667315,2
117,2015-07-23,"2015",202.5,2.52466171038447,6.34129515185612,3
117,2018-05-24,"2018",142.5,1.13904180018737,3.51622580984464,2
117,2018-05-31,"2018",147.5,0.657831657992621,2.00277316732513,2
117,2018-06-04,"2018",153,3.51187228479263,7.78698293435247,3
117,2018-06-07,"2018",156.5,2.73266190184125,8.74495285863713,3
117,2018-06-11,"2018",160,3.28260999960884,5.02306446420251,2
117,2018-06-14,"2018",163.5,3.949390045856,10.7123288179937,2
117,2018-06-18,"2018",167,6.628382253042,9.14324742551957,2
117,2018-06-21,"2018",170.5,5.65155883832473,11.0457766210149,3
117,2018-06-25,"2018",174,11.5836693735094,15.7471837579347,2
117,2018-06-28,"2018",177.5,9.59119638792018,14.9088319887404,2
117,2018-07-02,"2018",181,10.5499083052592,13.1982488042111,3
