"","Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Trap","Frass.mass..mg.","Frass.number","Method","Notes","FrassFall link:","https://anecdata.org/projects/view/488","Year","jday.Set","jday.Collected","frass.mg.d","frass.no.d","jday"
"1","Prairie Ridge",2015-05-18,"11:20:00",2015-05-21,"11:35:00","5E",4.1,7,"Funnel/Paper",NA,NA,NA,"2015",138.472222222222,141.482638888889,1.36193771626298,2.32525951557094,139.5
"2","Prairie Ridge",2015-05-18,"11:42:00",2015-05-21,"11:23:00","4E",3.7,6,"Funnel/Paper",NA,NA,NA,"2015",138.4875,141.474305555556,1.23878167867938,2.00883515461521,139.5
"3","Prairie Ridge",2015-05-18,"14:10:00",2015-05-21,"09:12:00","10E",0.7,7,"Funnel/Paper","Was found slightly crooked",NA,NA,"2015",138.590277777778,141.383333333333,0.250621581302835,2.50621581302835,139.5
"4","Prairie Ridge",2015-05-18,"10:50:00",2015-05-21,"12:00:00","6E",1.1,2,"Funnel/Paper",NA,NA,NA,"2015",138.451388888889,141.5,0.360820045558086,0.656036446469248,139.5
"5","Prairie Ridge",2015-05-18,"10:20:00",2015-05-21,"13:47:00","7E",NA,NA,"Funnel/Paper","Wet and unusable",NA,NA,"2015",138.430555555556,141.574305555556,NA,NA,139.5
"6","Prairie Ridge",2015-05-18,"13:30:00",2015-05-21,"10:10:00","2E",1.7,8,"Funnel/Paper",NA,NA,NA,"2015",138.5625,141.423611111111,0.594174757281553,2.79611650485437,139.5
"7","Prairie Ridge",2015-05-18,"14:10:00",2015-05-21,"09:39:00","9E",7.7,16,"Funnel/Paper",NA,NA,NA,"2015",138.590277777778,141.402083333333,2.73845393924425,5.69029389972831,139.5
"8","Prairie Ridge",2015-05-18,"11:54:00",2015-05-21,"10:46:00","3E",21.3,51,"Funnel/Paper",NA,NA,NA,"2015",138.495833333333,141.448611111111,7.21354656632172,17.2718720602069,139.5
"9","Botanical Garden",2015-05-19,"11:40:00",2015-05-22,"10:26:00","5A",0.2,1,"Funnel/Paper",NA,NA,NA,"2015",139.486111111111,142.434722222222,0.0678285445124821,0.339142722562411,140.5
"10","Botanical Garden",2015-05-19,"13:35:00",2015-05-22,"11:40:00","8B",0.1,1,"Funnel/Paper",NA,NA,NA,"2015",139.565972222222,142.486111111111,0.0342449464922711,0.342449464922711,140.5
"11","Botanical Garden",2015-05-19,"11:00:00",2015-05-22,"10:00:00","4E",1.5,3,"Funnel/Paper",NA,NA,NA,"2015",139.458333333333,142.416666666667,0.50704225352113,1.01408450704226,140.5
"12","Botanical Garden",2015-05-19,"13:00:00",2015-05-22,"10:56:00","6D",0,0,"Funnel/Paper",NA,NA,NA,"2015",139.541666666667,142.455555555556,0,0,140.5
"13","Botanical Garden",2015-05-19,"11:00:00",2015-05-22,"09:55:00","4D",0.2,2,"Funnel/Paper",NA,NA,NA,"2015",139.458333333333,142.413194444444,0.0676850763807285,0.676850763807285,140.5
"14","Botanical Garden",2015-05-19,"10:08:00",2015-05-22,"09:12:00","2C",1.4,6,"Funnel/Paper",NA,NA,NA,"2015",139.422222222222,142.383333333333,0.472795497185741,2.02626641651032,140.5
"15","Botanical Garden",2015-05-19,"13:15:00",2015-05-22,"11:15:00","7E",0.1,1,"Funnel/Paper",NA,NA,NA,"2015",139.552083333333,142.46875,0.0342857142857144,0.342857142857144,140.5
"16","Botanical Garden",2015-05-19,"13:00:00",2015-05-22,"10:45:00","6C",0.1,2,"Funnel/Paper",NA,NA,NA,"2015",139.541666666667,142.447916666667,0.0344086021505376,0.688172043010753,140.5
"17","Botanical Garden",2015-05-19,"11:40:00",2015-05-22,"10:36:00","5D",0.7,1,"Funnel/Paper",NA,NA,NA,"2015",139.486111111111,142.441666666667,0.236842105263158,0.338345864661655,140.5
"18","Botanical Garden",2015-05-19,"13:35:00",2015-05-22,"11:31:00","8D",29.5,6,"Funnel/Paper",NA,NA,NA,"2015",139.565972222222,142.479861111111,10.1239275500477,2.05910390848427,140.5
"19","Botanical Garden",2015-05-19,"13:15:00",2015-05-22,"11:23:00","7E",0.6,3,"Funnel/Paper",NA,NA,NA,"2015",139.552083333333,142.474305555556,0.20532319391635,1.02661596958175,140.5
"20","Botanical Garden",2015-05-19,"09:38:00",2015-05-22,"08:55:00","1B",10.1,24,"Funnel/Paper",NA,NA,NA,"2015",139.401388888889,142.371527777778,3.40051437923781,8.08043020808984,140.5
"21","Botanical Garden",2015-05-19,"09:38:00",2015-05-22,"08:50:00","1C",2.8,12,"Funnel/Paper","was found slightly tilted, likely from storm",NA,NA,"2015",139.401388888889,142.368055555556,0.94382022471911,4.04494382022476,140.5
"22","Botanical Garden",2015-05-22,"11:28:00",2015-05-25,"09:05:00","7B",1,7,"Funnel/Paper",NA,NA,NA,"2015",142.477777777778,145.378472222222,0.344745032319847,2.41321522623893,143.5
"23","Botanical Garden",2015-05-22,"09:34:00",2015-05-25,"10:23:00","3B",1.1,6,"Funnel/Paper",NA,NA,NA,"2015",142.398611111111,145.432638888889,0.362554360265505,1.97756923781185,143.5
"24","Botanical Garden",2015-05-22,"09:19:00",2015-05-25,"10:43:00","2B",1.3,6,"Funnel/Paper",NA,NA,NA,"2015",142.388194444444,145.446527777778,0.425068119891008,1.96185286103542,143.5
"25","Botanical Garden",2015-05-22,"09:40:00",2015-05-25,"10:28:00","3E",0.2,3,"Funnel/Paper",NA,NA,NA,"2015",142.402777777778,145.436111111111,0.065934065934066,0.98901098901099,143.5
"26","Botanical Garden",2015-05-22,"11:12:00",2015-05-25,"09:00:00","7E",0.6,3,"Funnel/Paper",NA,NA,NA,"2015",142.466666666667,145.375,0.206303724928367,1.03151862464183,143.5
"27","Botanical Garden",2015-05-22,"08:55:00",2015-05-25,"11:15:00","1B",6,12,"Funnel/Paper",NA,NA,NA,"2015",142.371527777778,145.46875,1.9372197309417,3.8744394618834,143.5
"28","Botanical Garden",2015-05-22,"09:55:00",2015-05-25,"10:13:00","4D",1.2,3,"Funnel/Paper",NA,NA,NA,"2015",142.413194444444,145.425694444444,0.398340248962657,0.995850622406643,143.5
"29","Botanical Garden",2015-05-22,"10:00:00",2015-05-25,"10:08:00","4E",2,6,"Funnel/Paper",NA,NA,NA,"2015",142.416666666667,145.422222222222,0.665434380776339,1.99630314232902,143.5
"30","Botanical Garden",2015-05-22,"10:28:00",2015-05-25,"09:45:00","5A",1.1,3,"Funnel/Paper",NA,NA,NA,"2015",142.436111111111,145.40625,0.370353051204114,1.01005377601122,143.5
"31","Botanical Garden",2015-05-22,"10:37:00",2015-05-25,"09:40:00","5D",0.5,4,"Funnel/Paper",NA,NA,NA,"2015",142.442361111111,145.402777777778,0.168895144264602,1.35116115411682,143.5
"32","Botanical Garden",2015-05-22,"11:00:00",2015-05-25,"09:30:00","6D",1.1,4,"Funnel/Paper",NA,NA,NA,"2015",142.458333333333,145.395833333333,0.374468085106383,1.36170212765957,143.5
"33","Botanical Garden",2015-05-22,"10:48:00",2015-05-25,"09:27:00","6C",0.7,5,"Funnel/Paper",NA,NA,NA,"2015",142.45,145.39375,0.237791932059446,1.69851380042462,143.5
"34","Botanical Garden",2015-05-22,"11:45:00",2015-05-25,"08:50:00","8B",0.6,6,"Funnel/Paper",NA,NA,NA,"2015",142.489583333333,145.368055555556,0.208443908323283,2.08443908323283,143.5
"35","Botanical Garden",2015-05-22,"11:35:00",2015-05-25,"08:45:00","8D",2.1,4,"Funnel/Paper",NA,NA,NA,"2015",142.482638888889,145.364583333333,0.728674698795178,1.38795180722891,143.5
"36","Botanical Garden",2015-05-22,"09:12:00",2015-05-25,"10:49:00","2C",0.1,1,"Funnel/Paper",NA,NA,NA,"2015",142.383333333333,145.450694444444,0.0326013131084445,0.326013131084445,143.5
"37","Prairie Ridge",2015-05-21,"12:06:00",2015-05-26,"10:40:00","12E",2.3,8,"Funnel/Paper","edge partially folded over",NA,NA,"2015",141.504166666667,146.444444444444,0.465560865898227,1.6193421422547,143.5
"38","Prairie Ridge",2015-05-21,"13:49:00",2015-05-26,"09:37:00","7E",2.5,7,"Funnel/Paper","paper slightly folded over",NA,NA,"2015",141.575694444444,146.400694444444,0.518134715025908,1.45077720207254,143.5
"39","Prairie Ridge",2015-05-21,"11:25:00",2015-05-26,"11:15:00","4E",3.7,10,"Funnel/Paper","hole in funnel bottom",NA,NA,"2015",141.475694444444,146.46875,0.741029207232269,2.00278164116829,143.5
"40","Prairie Ridge",2015-05-21,"11:35:00",2015-05-26,"11:00:00","5E",2,2,"Funnel/Paper","funnel tilted 30 degrees",NA,NA,"2015",141.482638888889,146.458333333333,0.401953942777389,0.401953942777389,143.5
"41","Prairie Ridge",2015-05-21,"10:05:00",2015-05-26,"11:45:00","2E",2,11,"Funnel/Paper",NA,NA,NA,"2015",141.420138888889,146.489583333333,0.394520547945204,2.16986301369862,143.5
"42","Prairie Ridge",2015-05-21,"10:19:00",2015-05-26,"12:03:00","1E",2.3,8,"Funnel/Paper",NA,NA,NA,"2015",141.429861111111,146.502083333333,0.453450164293538,1.57721796276013,143.5
