"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01"
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-01","0.00","0.0","0.0","45","22","23",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-02","0.00",,,"51","23","41",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-03","0.16",,,"53","40","44",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-04","0.15",,,"59","44","58",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-05","0.07",,,"66","39","39",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-06","0.00",,,"51","25","25",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-07","0.00",,,"53","25","30",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-08","0.00",,,"38","9","9",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-09","0.00",,,"28","9","28",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-10","0.00",,,"45","23","23",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-11","0.00",,,"39","14","15",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-12","0.67",,,"47","15","36",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-13","0.82",,,"45","36","38",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-14","0.03","0.0","0.0","39","27","27",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-15","0.10",,,"32","26","30",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-16","0.00",,,"42","30","31",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-17","0.00",,,"53","27","32",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-18","0.29",,,"51","32","41",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-19","0.02",,,"58","32","35",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-20","0.00",,,"62","35","38",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-21","0.00",,,"68","37","39",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-22","0.00",,,"56","29","30",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-23","0.00",,,"58","30","37",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-26","0.05",,,"55","29","38",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-27","0.07",,,"48","31","31",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-28","0.00",,,"45","26","26",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-29","0.00",,,"46","22","22",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-30","0.01",,,"46","21","40",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-01-31","0.00",,,"47","21","22",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-01","0.00",,,"48","22","34",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-02","0.31","0.0","0.0","56","33","54",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-03","0.04","0.0","0.0","61","21","22",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-04","0.00",,,"46","22","24",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-05","0.00",,,"54","24","43",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-06","0.00",,,"48","16","16",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-07","0.00",,,"43","16","24",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-08","0.00",,,"59","24","40",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-09","0.00",,,"72","40","45",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-10","1.10",,,"63","35","35",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-11","0.03","0.0","0.0","44","31","32",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-12","0.00","0.0","0.0","52","28","28",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-13","0.00","0.0","0.0","53","22","23",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-14","0.00",,,"35","20","22",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-15","0.00",,,"53","14","15",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-16","0.00",,,"29","15","20",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-17","0.53",,,"26","18","19",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-18","0.00",,,"36","18","19",
"USC00311677","CHAPEL HILL 2 W, NC US","2015-02-19","0.02",,,"38","12","13",
